Alpha, Avg Blocked Cell Detects, Avg Space Rat Pings, Avg Movements, Avg Timesteps
0.02, 8.26, 109.79, 117.05, 235.1
0.04, 7.95, 91.87, 98.82, 198.64
0.06, 7.77, 81.17, 87.94, 176.88
0.08, 6.91, 78.9, 84.81, 170.62
0.1, 8.31, 81.13, 88.44, 177.88
0.12, 8.08, 71.52, 78.6, 158.2
0.14, 9.26, 70.99, 79.25, 159.5
0.16, 7.55, 72.74, 79.29, 159.58
0.18, 8.85, 75.91, 83.76, 168.52
0.2, 7.91, 73.48, 80.39, 161.78
0.22, 8.68, 71.27, 78.95, 158.9
0.24, 6.84, 80.84, 86.68, 174.36
0.26, 8.01, 77.0, 84.01, 169.02
0.28, 7.84, 79.32, 86.16, 173.32
0.3, 8.27, 84.81, 92.08, 185.16
