Alpha, Avg Blocked Cell Detects, Avg Space Rat Pings, Avg Movements, Avg Timesteps
0.02, 8.15, 110.212, 117.362, 235.724
0.04, 8.026, 89.494, 96.52, 194.04
0.06, 8.15, 82.05, 89.2, 179.4
0.08, 7.85, 77.304, 84.154, 169.308
0.1, 8.508, 74.708, 82.216, 165.432
0.12, 8.166, 72.078, 79.244, 159.488
0.14, 8.312, 72.476, 79.788, 160.576
0.16, 7.958, 72.146, 79.104, 159.208
0.18, 8.57, 71.962, 79.532, 160.064
0.2, 8.374, 74.23, 81.604, 164.208
