Alpha, Avg Blocked Cell Detects, Avg Space Rat Pings, Avg Movements, Avg Timesteps
0.02, 8.46, 190.51, 197.97, 396.94
0.04, 8.66, 166.54, 174.2, 349.4
0.06, 8.11, 140.49, 147.6, 296.2
0.08, 8.68, 165.23, 172.91, 346.82
0.1, 7.67, 146.93, 153.6, 308.2
0.12, 7.54, 134.6, 141.14, 283.28
0.14, 7.74, 137.09, 143.83, 288.66
0.16, 7.33, 158.38, 164.71, 330.42
0.18, 6.45, 129.75, 135.2, 271.4
0.2, 7.16, 143.73, 149.89, 300.78
0.22, 7.37, 142.25, 148.62, 298.24
0.24, 7.39, 147.97, 154.36, 309.72
0.26, 8.33, 147.56, 154.89, 310.78
0.28, 7.92, 140.32, 147.24, 295.48
0.3, 7.38, 155.87, 162.25, 325.5
